reference-group,Critical,High,Medium,Low
Low,0.9127795696258545,0.9499769806861877,0.9658681154251099,1.0
Medium,0.9193037152290344,0.9723180532455444,1.0,0.9658681154251099
High,0.9452018141746521,1.0,0.9723180532455444,0.9499769806861877
Critical,1.0,0.9452018141746521,0.9193037152290344,0.9127795696258545
